"filename", "language", "Shell Script", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "XML", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Components\Modals\EditEmployeesModal.jsx", "JavaScript JSX", 0, 0, 0, 162, 0, 0, 0, 0, 2, 9, 173
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Components\Modals\EditEquipmentModal.jsx", "JavaScript JSX", 0, 0, 0, 123, 0, 0, 0, 0, 1, 5, 129
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Components\Modals\EditJobsiteModal.jsx", "JavaScript JSX", 0, 0, 0, 145, 0, 0, 0, 0, 1, 4, 150
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Components\Navbar\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 8, 3, 94
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Components\Navbar\Navbar.css", "PostCSS", 0, 0, 0, 0, 26, 0, 0, 0, 3, 4, 33
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Components\ProtectedRoute\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 1, 9, 49
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Components\Tables\EmployeeTable.jsx", "JavaScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 3, 4, 90
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Components\Tables\EqTables.jsx", "JavaScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 6, 3, 117
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Components\Tables\JobsiteTable.jsx", "JavaScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 3, 5, 91
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Components\Tables\Utils\sortData.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Context\ConstructionAppContext.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Context\ConstructionAppProvider.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\AdminAccess\EditDWRs\EditDWRs.jsx", "JavaScript JSX", 0, 0, 0, 151, 0, 0, 0, 0, 12, 9, 172
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\AdminAccess\EditEmployees\EditEmployees.jsx", "JavaScript JSX", 0, 0, 0, 72, 0, 0, 0, 0, 0, 10, 82
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\AdminAccess\EditEquipment\EditEquipment.jsx", "JavaScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 3, 6, 77
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\AdminAccess\EditJobsite\EditJobsite.css", "PostCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\AdminAccess\EditJobsite\EditJobsites.jsx", "JavaScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 1, 6, 80
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\AdminAccess\EditProfile\EditProfile.jsx", "JavaScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 19, 8, 101
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\AllJobsites\Jobsites.css", "PostCSS", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\AllJobsites\Jobsites.jsx", "JavaScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\Home\Home.css", "PostCSS", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\Home\Home.jsx", "JavaScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 10, 7, 80
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\Jobsite\Jobsite.css", "PostCSS", 0, 0, 0, 0, 41, 0, 0, 0, 4, 8, 53
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\Jobsite\Jobsite.jsx", "JavaScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 5, 6, 57
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\Register\RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 2, 5, 67
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\ViewEquipment\ViewEquipment.css", "PostCSS", 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\Pages\ViewEquipment\ViewEquipment.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\client\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\package-lock.json", "JSON", 0, 0, 712, 0, 0, 0, 0, 0, 0, 1, 713
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\package.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Models\companyModel.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 36, 4, 62
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Models\dwrSchema.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Models\employeeSchema.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 4, 13
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Models\equipUsed.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Models\equipmentSchema.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 5, 12
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Models\incidentsSchema.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Models\jobsiteSchema.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 5, 17
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Models\loadsSchema.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 3, 12
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Models\usersModel.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 10, 4, 28
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Routes\dwrs.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 0, 40, 15, 177
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Routes\equipment.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 39, 9, 109
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Routes\jobs.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 50, 11, 139
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Routes\loads.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 19, 3, 22
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\Routes\user.js", "JavaScript", 0, 338, 0, 0, 0, 0, 0, 0, 84, 13, 435
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\package-lock.json", "JSON", 0, 0, 3051, 0, 0, 0, 0, 0, 0, 1, 3052
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\package.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\PCC 21\Desktop\ConstructionApp_Modified\server\server.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 23, 7, 63
"Total", "-", 1, 764, 7544, 2864, 383, 1, 13, 7, 455, 370, 12402
